Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0603,2,2.2uF,C57895
"C10, C12, C22, C7",0603,4,10uF,C386081
"C11, C14, C15, C16, C17, C19, C24, C27, C5, C8, C9",0603,11,100nF,C88219
"C13, C20, C21, C29, C30, C31, C32, C33, C6",0603,9,1uF,C841050
C18,0603,1,0.22uF,C107083
"C2, C3",0603,2,2.2nF,C2835509
"C23, C26, C34, C36, C40, C41",0603,6,1nF,C340644
"C25, C28",CP_Elec_6.3x5.4,2,100uF,C2887272
"C35, C37",0603,2,0.68uF,C694504
"C38, C39",0603,2,0.47uF,C162281
C43,TAJC686K016RNJ,1,68uF,C7220
"D1, D2, D3, D4, D5",0603,5,LED_Small,C89811
"FB1, FB3",0805,2,80Ω,C2971887
"FB2, FB4",1806,2,75Ω,C14586
"J1, J2",KF301-5_0-2P,2,KF301-5_0-2P,C474881
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,DNP
"L1, L2",IHLP3232DZER220M11,2,22uH,C845053
"R1, R2, R3",0603,3,56R,C227967
"R11, R12, R13, R14, R21",0603,5,1K,C73797
"R15, R16, R17, R18, R19, R20, R4, R7",0603,8,10K,C465463
"R22, R23, R24",0603,3,10R,C441910
"R5, R6",0603,2,470R,C114669
RV1,VG039NSNXTB103,1,"10K,  originally C515300, now using, C719176",C719176
SW1,PTS636SK25SMTRLFS,1,PTS636SK25SMTRLFS,C2689642
SW2,SS-12D11L7,1,SS-12D11L7,C2884775
U1,RPi_Pico_SMD_TH,1,Pico,DNP
U2,TO-263-3_TabPin4,1,"LM7812S/TR, was LM1085IS-12/NOPB, originally C130908, now C507140, changed for cost",C507140
U11,TPA3112D1PWPR,1,TPA3112D1PWPR,C133544
U3,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5100APWR,C131154
U8,LM78M05CDTX-NOPB,1,"LM78M05CDTX/NOPB, originally C544492, now using, C5145267",C5145267
U9,AP7333-33SRG-7,1,AP7333-33SRG-7,C150745
